Value,Database
22.357846,Redis
15.800620,Redis
18.307197,Redis
17.241729,Redis
16.110448,Redis
18.277840,Redis
17.305600,Redis
18.169454,Redis
15.800725,Redis
12.859768,MySQL
12.772416,MySQL
14.315630,MySQL
13.030421,MySQL
14.338652,MySQL
13.931955,MySQL
13.392533,MySQL
13.268607,MySQL
12.419660,MySQL
14.012907,MySQL
52.255077,MySQL-wc
51.558837,MySQL-wc
53.147713,MySQL-wc
52.173514,MySQL-wc
52.284906,MySQL-wc
52.247800,MySQL-wc
53.683573,MySQL-wc
52.447788,MySQL-wc
51.699372,MySQL-wc
52.538780,MySQL-wc
